[21:49:20] Angle: 155.3° | Speed: 0.260 |  51 km/h
[21:49:20] Angle: 159.3° | Speed: 0.255 |  51 km/h
[21:49:20] Angle: 166.1° | Speed: 0.241 |  48 km/h
[21:49:21] Angle: 168.4° | Speed: 0.226 |  45 km/h
[21:49:21] Angle: 172.2° | Speed: 0.208 |  41 km/h
[21:49:21] Angle: 176.0° | Speed: 0.188 |  37 km/h
[21:49:21] Angle: 180.8° | Speed: 0.165 |  32 km/h
[21:49:21] Angle: 185.0° | Speed: 0.139 |  27 km/h
[21:49:21] Angle: 189.3° | Speed: 0.113 |  22 km/h
[21:49:21] Angle: 193.0° | Speed: 0.090 |  18 km/h
[21:49:21] Angle: 197.9° | Speed: 0.072 |  14 km/h
[21:49:21] Angle: 202.1° | Speed: 0.058 |  11 km/h
[21:49:22] Angle: 203.3° | Speed: 0.046 |   9 km/h
[21:49:22] Angle: 203.0° | Speed: 0.037 |   7 km/h
[21:49:22] Angle: 201.0° | Speed: 0.030 |   5 km/h
[21:49:22] Angle: 199.0° | Speed: 0.024 |   4 km/h
[21:49:22] Angle: 197.0° | Speed: 0.019 |   3 km/h
[21:49:22] Angle: 195.9° | Speed: 0.015 |   3 km/h
[21:49:22] Angle: 194.0° | Speed: 0.012 |   2 km/h
[21:49:22] Angle: 193.0° | Speed: 0.010 |   1 km/h
[21:49:23] Angle: 191.1° | Speed: 0.008 |   1 km/h
[21:49:23] Angle: 189.5° | Speed: 0.007 |   1 km/h
[21:49:23] Angle: 188.5° | Speed: 0.008 |   1 km/h
[21:49:23] Angle: 187.5° | Speed: 0.010 |   2 km/h
[21:49:23] Angle: 185.8° | Speed: 0.015 |   2 km/h
[21:49:23] Angle: 184.1° | Speed: 0.021 |   4 km/h
[21:49:23] Angle: 183.3° | Speed: 0.027 |   5 km/h
[21:49:23] Angle: 181.6° | Speed: 0.034 |   6 km/h
[21:49:23] Angle: 180.8° | Speed: 0.042 |   8 km/h
[21:49:24] Angle: 179.2° | Speed: 0.050 |   9 km/h
[21:49:24] Angle: 177.6° | Speed: 0.059 |  11 km/h
[21:49:24] Angle: 176.9° | Speed: 0.067 |  13 km/h
[21:49:24] Angle: 176.0° | Speed: 0.075 |  15 km/h
[21:49:24] Angle: 174.4° | Speed: 0.084 |  16 km/h
[21:49:24] Angle: 173.1° | Speed: 0.093 |  18 km/h
[21:49:24] Angle: 172.3° | Speed: 0.102 |  20 km/h
[21:49:24] Angle: 171.4° | Speed: 0.110 |  22 km/h
[21:49:24] Angle: 169.9° | Speed: 0.119 |  23 km/h
[21:49:25] Angle: 168.5° | Speed: 0.128 |  25 km/h
[21:49:25] Angle: 167.9° | Speed: 0.137 |  27 km/h
[21:49:25] Angle: 167.3° | Speed: 0.144 |  28 km/h
[21:49:25] Angle: 166.1° | Speed: 0.152 |  30 km/h
[21:49:25] Angle: 165.6° | Speed: 0.159 |  31 km/h
[21:49:25] Angle: 164.7° | Speed: 0.166 |  33 km/h
[21:49:25] Angle: 164.1° | Speed: 0.173 |  34 km/h
[21:49:25] Angle: 163.0° | Speed: 0.180 |  35 km/h
[21:49:26] Angle: 160.6° | Speed: 0.189 |  37 km/h
[21:49:26] Angle: 160.0° | Speed: 0.197 |  39 km/h
[21:49:26] Angle: 159.3° | Speed: 0.205 |  41 km/h
[21:49:26] Angle: 157.9° | Speed: 0.214 |  42 km/h
[21:49:26] Angle: 157.3° | Speed: 0.221 |  44 km/h
[21:49:26] Angle: 156.0° | Speed: 0.229 |  45 km/h
